10-HThG_S10_R1.fastq.gz	1_R1.fastq.gz
16-HThG_S16_R1.fastq.gz	2_R1.fastq.gz
18-HThG_S18_R1.fastq.gz	3_R1.fastq.gz
19-HThG_S19_R1.fastq.gz	4_R1.fastq.gz
2-HThG_S2_R1.fastq.gz	5_R1.fastq.gz
24-HThG_S24_R1.fastq.gz	6_R1.fastq.gz
28-HThG_S28_R1.fastq.gz	7_R1.fastq.gz
29-HThG_S29_R1.fastq.gz	8_R1.fastq.gz
3-HThG_S3_R1.fastq.gz	9_R1.fastq.gz
36-HThG_S36_R1.fastq.gz	10_R1.fastq.gz
39-HThG_S39_R1.fastq.gz	11_R1.fastq.gz
46-HThG_S46_R1.fastq.gz	12_R1.fastq.gz
49-HThG_S49_R1.fastq.gz	13_R1.fastq.gz
5-HThG_S5_R1.fastq.gz	14_R1.fastq.gz
50-HThG_S50_R1.fastq.gz	15_R1.fastq.gz
56-HThG_S56_R1.fastq.gz	16_R1.fastq.gz
6-HThG_S6_R1.fastq.gz	17_R1.fastq.gz
10-HThG_S10_R2.fastq.gz	1_R2.fastq.gz
16-HThG_S16_R2.fastq.gz	2_R2.fastq.gz
18-HThG_S18_R2.fastq.gz	3_R2.fastq.gz
19-HThG_S19_R2.fastq.gz	4_R2.fastq.gz
2-HThG_S2_R2.fastq.gz	5_R2.fastq.gz
24-HThG_S24_R2.fastq.gz	6_R2.fastq.gz
28-HThG_S28_R2.fastq.gz	7_R2.fastq.gz
29-HThG_S29_R2.fastq.gz	8_R2.fastq.gz
3-HThG_S3_R2.fastq.gz	9_R2.fastq.gz
36-HThG_S36_R2.fastq.gz	10_R2.fastq.gz
39-HThG_S39_R2.fastq.gz	11_R2.fastq.gz
46-HThG_S46_R2.fastq.gz	12_R2.fastq.gz
49-HThG_S49_R2.fastq.gz	13_R2.fastq.gz
5-HThG_S5_R2.fastq.gz	14_R2.fastq.gz
50-HThG_S50_R2.fastq.gz	15_R2.fastq.gz
56-HThG_S56_R2.fastq.gz	16_R2.fastq.gz
6-HThG_S6_R2.fastq.gz	17_R2.fastq.gz
